,neighborhood,borough,nb latitude,nb longitude,lyft_pickups
277,Sunnyside Gardens,Queens,40.74565180608076,-73.91819286431682,393
278,Blissville,Queens,40.73725071694497,-73.93244235260178,113
279,Fulton Ferry,Brooklyn,40.70328109093014,-73.99550751888415,544
280,Vinegar Hill,Brooklyn,40.70332149882874,-73.98111603592393,551
281,Weeksville,Brooklyn,40.67503986503237,-73.93053108817338,775
282,Broadway Junction,Brooklyn,40.67786104769531,-73.90331684852599,139
283,Dumbo,Brooklyn,40.70317632822692,-73.9887528074504,76
284,Manor Heights,Staten Island,40.60180957631444,-74.12059399718001,1
285,Willowbrook,Staten Island,40.60370692627371,-74.13208447484298,2
286,Sandy Ground,Staten Island,40.541139922091766,-74.21776636068567,0
287,Egbertville,Staten Island,40.579118742961214,-74.12727240604946,1
288,Roxbury,Queens,40.56737588957032,-73.89213760232822,0
289,Homecrest,Brooklyn,40.598525095137255,-73.95918459428702,158
290,Middle Village,Queens,40.716414511158185,-73.88114319200604,8
291,Prince's Bay,Staten Island,40.52626406734812,-74.20152556457658,0
292,Lighthouse Hill,Staten Island,40.57650629379489,-74.13792663771568,0
293,Richmond Valley,Staten Island,40.51954145748909,-74.22957080626941,0
294,Malba,Queens,40.79060155670148,-73.82667757138641,9
295,Highland Park,Brooklyn,40.6819989345173,-73.890345709872,117
296,Madison,Brooklyn,40.60937770113766,-73.94841515328893,94
297,Bronxdale,Bronx,40.85272297633017,-73.86172577555115,34
298,Allerton,Bronx,40.86578787802982,-73.85931863221647,54
299,Kingsbridge Heights,Bronx,40.8703923914147,-73.90152264513144,60
300,Erasmus,Brooklyn,40.64692606658579,-73.94817709920184,249
301,Hudson Yards,Manhattan,40.75665808227519,-74.00011136202637,724
302,Hammels,Queens,40.58733774018741,-73.80553002968718,5
303,Bayswater,Queens,40.611321691283834,-73.76596781445627,2
304,Queensbridge,Queens,40.756091297094706,-73.94563070334091,120
305,Fox Hills,Staten Island,40.61731079252983,-74.08173992211962,4
